Tweet,Offensive
Ausschreitungen in Chemnitz: Jeder Zweite sieht Ursache bei Merkel nicht nur Merkel auch SPD sind schuld Grüne auch alle haben geschriehen müssen wir nehmen die Armen Krimminellen der größte Teil die die westlichen Werte annehmen Arbeiten mit Kinder okay.,OFFENSE
Hammer-Umfrage: AfD bundesweit auf Platz zwei was mekert Nahles wir überlassen dehnen nicht die Straßen.sie ist Geschichte die fragt kein Mensch ihr habt uns lange genug für Doof gehalten jetzt kommt die Abrechnung Nahles Merkel,OTHER
@tonline_news @c_lindner Herr Lindener warum gehen sie in der Asylantenpolitik nicht auf die Meinungen der Bürger zu diesem Thema ich meine die Krimminellen Asylanten sofort aus weisen lügenpresse nicht für ernst nehmen sondern die Sorgen der Menschen,OFFENSE
Die Regierung tut so als währen die Deutschen Menschen schuld nein der Staat ist Schuld wenn die Menschen keine Rechte mehr haben nur mit Krimminellen geht der Staat Deutschland vor die Hunde .,OFFENSE
"warum tut Deutschland nichts um Tote Deutsche zuverhindern,nein sie holen noch straftäter ins Land wir haben keine Regierung mehr für Deutschland nur nich für Außland Asylanten krimminelle wozu zahlen wir eigentlich noch steuern gegen wie hundertausende Deutsche auf die Str",OFFENSE
@CASPERxOFFICIAL @Kraftklub @dendemann @marteria Ist jetzt alles übergeschnappt das Ausland kann vor lachen sich nicht mehr eingriegen,OTHER
In Deutschland bestimmen wir Deutsche was in unserem Land gemacht wird. Sonst niemand wer das nicht will soll umgehend das Land verlassen Frohe#weihnachten,OTHER
Familien Nachzug nein wenn die Grünen es wollen sollen sie nach Syrien ziehen wir werden sie nicht vermissen,OTHER
@1984reload @SPIEGELONLINE Genau das die CDU noch zuviel Stimmen hat den keine Einsicht für die Fehler die sie gemacht haben,OTHER
Niedersachsen - Ministerpräsident Weil fordert Neuwahlen neuwahlen davor haben die von derCDU Angst wollen doch am Stuhl kleben bleiben.,OFFENSE
"FDP-Chef Lindner - \""""Angela Merkel wird Bundeskanzlerin bleiben\""Gott bewahre uns davor wir sind schon am Ende sie ruiniert Deutschland",OFFENSE
@SPIEGELONLINE Merkel eine Schande für Deutschland überall machen wir Deutsche uns zum Narren,OFFENSE
@MarleneSchfer1 Klarer Eingriff in die Wahlfreiheit und verfassungswidrig! Diese Republik verblödet rapide!<U+0001F633>,OFFENSE
"@petraschnautzer @gundel_gaukeley @AlexF50451971 Oder Trichophobe? Wegen der Kopfwindel?<U+0001F915><U+0001F9D5> |LBR| Wir sollten Begriffe prägen wegen deren Kampfbegriff \""""Islamophobie\""""!<U+0001F44D><U+0001F923>",OFFENSE
@gundel_gaukeley @petraschnautzer @AlexF50451971 Also kann man die Mohammedkultisten auch Trichophile nennen!<U+0001F44D><U+0001F923><U+0001F923><U+0001F923>,OFFENSE
@Frank_Em_ @je_saar Entblocke ihn trotzdem nicht mehr!<U+0001F60B>,OTHER
"@AlexF50451971 @sabinemnch1 @petraschnautzer Die Frage der Fragen!<U+0001F923> |LBR| Aber denen geht es um Machtdemonstration, und dafür müssen die Frauen herhalten!<U+0001F644><U+0001F613>",OTHER
@Jutta98811424 @afdkrefeld Sag ich ja - MfS!<U+0001F609>,OTHER
"EU umgeht Iran-Sanktionen der USA durch Tauschgeschäfte, Maas/Deutschland im Schulterschluss mit Macron. |LBR| Den Fehler machte schon Hitler, Barterdeal mit Argentinien Lokomotiven gegen Weizen. USA versenkte völkerrechtswidrig dt. Handelsflotte, Ribbentrop erklärte den Krieg.<U+0001F605>",OTHER
"Einen Konservativen machst du stinksauer, wenn du ihn dummdreist anlügst!<U+0001F621> |LBR| Einen Linkoiden machst du stinksauer, wenn du ihm reale Wahrheit sagst!<U+0001F643><U+0001F60B><U+0001F644><U+0001F605><U+0001F633>",OFFENSE
"@SebastianHampel Du weißt bestimmt schon, dass sie einen an der Klatsche hat. Also die Chebli.<U+0001F92D>",OFFENSE
"@alexarusss @markus_henker Hier eher so wie Markus sagt. |LBR| Oft merken die nicht dass sie entfolgt wurden, da sie mich noch über RT lesen. Habe Follower, die mir schon 10x wieder folgten, weil Twitter immer wieder die Scheidung einreicht!<U+0001F621><U+0001F644>",OTHER
@afdkrefeld Kranke Brut - wo ist da der VS? Oder ist der schon zum MfS umgebaut?<U+0001F914>,OFFENSE
@GeraldGrosz So ist es! Die Sozis haben intellektuell komplett kapituliert!<U+0001F44D>,OFFENSE
"@AlexF50451971 Ja und Ja!<U+0001F44D> |LBR| Ein gutes Remake, grandios gelungen!<U+0001F917>",OTHER
@Leonidas_der_1 @petra58249513 @krippmarie Die Frau im Vordergrund ist das Problem!<U+0001F914><U+0001F92F>,OTHER
Dessen sagt man nicht. Wegen SS!<U+0001F92F>,OTHER
Dem muss sich eine Genderbeauftragende dringend annehmen! Zur Rettung der Frau! Des Weltfriedens! Des Klimas! Der Hundewelpen!<U+0001F633><U+0001F631>,OTHER
"Es ist ein Unding, dass DIE Rübe weiblich, aber DAS Mädchen sachlich ist!<U+0001F914><U+0001F643><U+0001F60B><U+0001F605>",OFFENSE
"@Dan_and_more @HubaIch @Proteus93484191 Darum muss man Wege finden, einen Gebührenzähler zwischen Sonne und Verbraucher zu installieren!<U+0001F4A1><U+0001F914><U+0001F605>",OTHER
"@ShakRiet Heikos Bild mit der Elfenbeinküstenflagge für Irland versieht Twitter mit Warnhinweis \""""sensible Inhalte\""""!<U+0001F605> |LBR| Man muss den deutschen Außenminister ja vor der kompletten Bloßstellung bewahren!<U+0001F643><U+0001F60B><U+0001F92D>",OTHER
@OttoBerger6 Das sind dann die Vollverschleierten!<U+0001F633><U+0001F915>,OFFENSE
@gundel_gaukeley @ha_zett Ist bestimmt nicht meine eigene Ansicht! Also schüttelt dein Haar für mich!<U+0001F923>,OTHER
